,location,total_sqft,bath,price,bhk
1187,Benson Town,1805.0,3.0,280.0,3
1188,Benson Town,1688.0,2.0,280.0,2
1247,Binny Pete,1755.0,3.0,122.0,3
1248,Binny Pete,665.0,1.0,50.75,1
1249,Binny Pete,2465.0,5.0,234.0,3
1251,Binny Pete,1245.0,2.0,86.28,2
1252,Binny Pete,660.0,1.0,54.0,1
1253,Binny Pete,665.0,1.0,46.08,1
1254,Binny Pete,660.0,1.0,62.0,1
1255,Binny Pete,1365.0,2.0,122.0,2
1256,Binny Pete,2940.0,6.0,280.0,4
1257,Binny Pete,1795.0,3.0,139.0,3
1258,Binny Pete,1740.0,3.0,150.0,3
1259,Binny Pete,1970.0,3.0,164.0,3
1260,Binny Pete,1516.0,3.0,147.0,3
1494,Chamrajpet,1475.0,2.0,120.0,3
1495,Chamrajpet,1900.0,2.0,170.0,4
1496,Chamrajpet,1350.0,2.0,180.0,2
1497,Chamrajpet,1050.0,2.0,162.0,2
1498,Chamrajpet,1660.4,4.0,211.0,4
1499,Chamrajpet,505.0,1.0,85.0,1
1500,Chamrajpet,1565.0,3.0,98.91,3
1501,Chamrajpet,730.0,1.0,52.0,2
1502,Chamrajpet,650.0,1.0,40.0,2
1503,Chamrajpet,650.0,2.0,45.0,2
1504,Chamrajpet,1650.0,3.0,115.0,3
1712,Cunningham Road,5270.0,4.0,1250.0,4
1713,Cunningham Road,3875.0,3.0,864.0,3
1714,Cunningham Road,3875.0,3.0,800.0,3
1715,Cunningham Road,3815.0,3.0,763.0,3
1716,Cunningham Road,2880.0,3.0,501.0,3
1717,Cunningham Road,3489.0,3.0,662.0,3
1718,Cunningham Road,4170.0,3.0,800.0,3
1720,Cunningham Road,2700.0,3.0,501.0,3
1721,Cunningham Road,7500.0,6.0,1800.0,4
1722,Cunningham Road,2880.0,3.0,560.0,3
1859,Domlur,1540.0,3.0,90.0,3
1860,Domlur,1875.0,2.0,150.0,3
1861,Domlur,1429.0,3.0,86.0,3
1862,Domlur,640.0,1.0,55.0,1
1863,Domlur,1050.0,2.0,85.0,2
1864,Domlur,1800.0,3.0,150.0,3
1865,Domlur,1720.0,3.0,135.0,3
1866,Domlur,1950.0,3.0,165.0,3
1867,Domlur,2180.0,3.0,285.0,3
1868,Domlur,650.0,1.0,70.0,1
1869,Domlur,780.0,1.0,70.0,1
1870,Domlur,2180.0,3.0,285.0,3
1871,Domlur,1740.0,3.0,120.0,3
1872,Domlur,1695.0,3.0,125.0,3
1873,Domlur,1246.0,2.0,95.0,2
1874,Domlur,2100.0,3.0,145.0,3
1875,Domlur,1276.0,2.0,80.0,2
1876,Domlur,1850.0,3.0,180.0,3
1877,Domlur,2955.0,3.0,235.0,3
1878,Domlur,1650.0,3.0,180.0,3
2370,Frazer Town,1700.0,3.0,180.0,3
2371,Frazer Town,1305.0,3.0,95.45,3
2372,Frazer Town,1870.0,3.0,185.0,3
2373,Frazer Town,1750.0,3.0,150.0,3
2375,Frazer Town,2000.0,3.0,200.0,3
2376,Frazer Town,3500.0,4.0,330.0,3
2377,Frazer Town,2350.0,4.0,285.0,3
2378,Frazer Town,1550.0,2.0,140.0,2
2379,Frazer Town,1900.0,4.0,145.0,3
2380,Frazer Town,2560.0,3.0,265.0,3
2381,Frazer Town,2400.0,3.0,260.0,3
2382,Frazer Town,2560.0,3.0,288.0,3
2383,Frazer Town,3436.0,5.0,341.0,4
2385,Frazer Town,1315.0,2.0,140.0,2
2386,Frazer Town,1706.0,3.0,154.0,3
2387,Frazer Town,2079.0,3.0,220.0,3
2388,Frazer Town,3435.0,2.0,341.0,4
2389,Frazer Town,3436.0,5.0,345.0,4
2390,Frazer Town,3100.0,3.0,400.0,3
2391,Frazer Town,5400.0,3.0,400.0,3
2392,Frazer Town,1180.0,2.0,105.0,2
2393,Frazer Town,2900.0,4.0,325.0,4
2394,Frazer Town,1870.0,3.0,180.0,3
2395,Frazer Town,896.0,1.0,100.0,1
2396,Frazer Town,1420.0,2.0,120.0,2
2538,HAL 2nd Stage,1490.0,2.0,300.0,3
2539,HAL 2nd Stage,600.0,3.0,145.0,2
2540,HAL 2nd Stage,2700.0,3.0,500.0,3
2541,HAL 2nd Stage,2040.0,4.0,500.0,5
2938,Hebbal Kempapura,1700.0,3.0,155.0,3
2939,Hebbal Kempapura,1800.0,3.0,175.0,3
2940,Hebbal Kempapura,2900.0,4.0,300.0,3
2941,Hebbal Kempapura,3522.0,3.0,380.0,3
2942,Hebbal Kempapura,2280.0,5.0,200.0,5
2943,Hebbal Kempapura,1200.0,2.0,125.0,2
2944,Hebbal Kempapura,2900.0,4.0,240.0,3
2946,Hebbal Kempapura,1300.0,2.0,102.0,2
2947,Hebbal Kempapura,1466.0,2.0,140.0,3
2949,Hebbal Kempapura,1725.0,2.0,165.0,3
2950,Hebbal Kempapura,1200.0,3.0,125.0,3
2951,Hebbal Kempapura,3408.0,3.0,260.0,3
2952,Hebbal Kempapura,1485.0,3.0,132.0,2
2953,Hebbal Kempapura,1400.0,2.0,108.0,2
2954,Hebbal Kempapura,1800.0,3.0,150.0,3
2955,Hebbal Kempapura,2400.0,5.0,200.0,5
2956,Hebbal Kempapura,2800.0,5.0,220.0,5
2957,Hebbal Kempapura,1785.0,3.0,165.0,3
2958,Hebbal Kempapura,3729.0,4.0,384.0,4
2959,Hebbal Kempapura,1600.0,3.0,170.0,3
2960,Hebbal Kempapura,1730.0,3.0,175.0,3
3521,Indira Nagar,1200.0,2.0,93.0,2
3522,Indira Nagar,1128.0,2.0,105.0,2
3523,Indira Nagar,2800.0,3.0,330.0,3
3524,Indira Nagar,1650.0,3.0,200.0,3
3526,Indira Nagar,1210.0,2.0,102.0,2
3527,Indira Nagar,1224.0,2.0,105.0,2
3528,Indira Nagar,2070.0,3.0,225.0,3
3529,Indira Nagar,500.0,1.0,70.0,1
3530,Indira Nagar,1400.0,2.0,168.0,2
3531,Indira Nagar,2400.0,4.0,525.0,4
3533,Indira Nagar,1145.0,2.0,100.0,2
3534,Indira Nagar,1470.0,2.0,170.0,2
3535,Indira Nagar,2700.0,3.0,324.0,3
3536,Indira Nagar,850.0,1.0,57.0,1
3537,Indira Nagar,3250.0,8.0,600.0,8
3538,Indira Nagar,2601.0,4.0,312.0,3
3539,Indira Nagar,1260.0,2.0,100.0,2
3540,Indira Nagar,1740.0,3.0,191.0,3
3541,Indira Nagar,1650.0,3.0,220.0,3
3544,Indira Nagar,1440.0,3.0,275.0,3
3545,Indira Nagar,1475.0,2.0,171.0,2
3546,Indira Nagar,3200.0,4.0,440.0,4
3547,Indira Nagar,4000.0,4.0,700.0,4
3548,Indira Nagar,850.0,1.0,60.0,1
3549,Indira Nagar,2400.0,4.0,405.0,4
3550,Indira Nagar,1800.0,5.0,350.0,5
3553,Indira Nagar,1650.0,3.0,200.0,3
3554,Indira Nagar,2800.0,4.0,365.0,4
3555,Indira Nagar,1260.0,2.0,120.0,2
3556,Indira Nagar,1149.0,2.0,130.0,2
3558,Indira Nagar,2400.0,6.0,475.0,6
3746,Judicial Layout,1300.0,3.0,64.0,3
3747,Judicial Layout,2070.0,3.0,162.0,3
3748,Judicial Layout,1700.0,3.0,155.0,3
3749,Judicial Layout,1100.0,2.0,53.0,3
3750,Judicial Layout,1165.0,2.0,49.61,2
3751,Judicial Layout,5400.0,4.0,700.0,5
3752,Judicial Layout,1500.0,3.0,162.0,4
3753,Judicial Layout,900.0,2.0,40.0,2
3754,Judicial Layout,1989.0,4.0,155.0,3
4531,Kodihalli,3252.0,5.0,335.0,4
4532,Kodihalli,2700.0,4.0,270.0,3
4533,Kodihalli,2392.0,4.0,260.0,3
4534,Kodihalli,2408.0,4.0,260.0,3
4535,Kodihalli,2500.0,4.0,260.0,3
4536,Kodihalli,1620.0,3.0,130.0,3
4537,Kodihalli,3260.0,5.0,388.0,4
4538,Kodihalli,3197.0,5.0,335.0,4
4539,Kodihalli,1490.0,2.0,150.0,2
4568,Koramangala,1320.0,2.0,165.0,2
4569,Koramangala,1253.0,2.0,102.0,2
4570,Koramangala,1580.0,3.0,160.0,3
4572,Koramangala,3500.0,5.0,425.0,4
4573,Koramangala,1005.0,1.0,110.0,2
4574,Koramangala,2292.0,4.0,275.0,3
4576,Koramangala,1290.0,2.0,100.0,2
4577,Koramangala,1300.0,2.0,110.0,2
4579,Koramangala,1325.0,2.0,119.0,2
4580,Koramangala,1140.0,2.0,75.2,2
4581,Koramangala,1260.0,2.0,100.0,2
4582,Koramangala,1975.0,3.0,210.0,3
4583,Koramangala,1900.0,2.0,200.0,2
4585,Koramangala,2292.0,3.0,286.0,3
4586,Koramangala,2300.0,3.0,290.0,3
4589,Koramangala,2503.0,6.0,325.0,4
4591,Koramangala,1320.0,2.0,150.0,2
4592,Koramangala,1320.0,2.0,110.0,2
4593,Koramangala,5985.0,4.0,775.0,4
4594,Koramangala,2461.0,6.0,353.0,4
4596,Koramangala,2246.0,3.0,300.0,3
4599,Koramangala,1083.0,2.0,100.0,2
4600,Koramangala,1744.0,3.0,200.0,3
4601,Koramangala,1180.0,2.0,128.0,2
4602,Koramangala,1320.0,2.0,160.0,2
4603,Koramangala,1370.0,2.0,125.0,2
4604,Koramangala,1100.0,2.0,85.0,2
4605,Koramangala,1249.0,2.0,165.0,2
4606,Koramangala,1200.0,2.0,100.0,2
4608,Koramangala,2223.0,3.0,300.0,3
4609,Koramangala,1744.0,4.0,210.0,3
4610,Koramangala,1866.0,4.0,245.0,3
4611,Koramangala,1320.0,2.0,160.0,2
4612,Koramangala,1350.0,2.0,103.0,2
4613,Koramangala,6000.0,4.0,625.0,4
4615,Koramangala,1320.0,2.0,160.0,2
4616,Koramangala,1710.0,3.0,210.0,3
4617,Koramangala,1355.0,2.0,95.0,2
4618,Koramangala,1600.0,3.0,170.0,3
4619,Koramangala,1260.0,2.0,100.0,2
4904,Mahalakshmi Layout,1575.0,5.0,158.0,4
4905,Mahalakshmi Layout,1105.0,2.0,80.0,2
4906,Mahalakshmi Layout,1200.0,3.0,160.0,4
4907,Mahalakshmi Layout,1200.0,2.0,110.0,3
4908,Mahalakshmi Layout,1876.0,3.0,150.0,3
5145,Marsur,1800.0,4.0,145.0,4
5146,Marsur,1200.0,3.0,90.0,3
5147,Marsur,1200.0,3.0,120.0,3
5234,Nagarbhavi,1350.0,3.0,150.0,3
5235,Nagarbhavi,1200.0,2.0,150.0,2
5237,Nagarbhavi,2400.0,3.0,160.0,3
5238,Nagarbhavi,884.0,2.0,36.0,1
5239,Nagarbhavi,1055.0,2.0,55.0,2
5241,Nagarbhavi,1223.0,2.0,60.0,2
5242,Nagarbhavi,956.0,2.0,49.0,2
5244,Nagarbhavi,1200.0,2.0,150.0,2
5247,Nagarbhavi,1145.0,2.0,40.0,2
5248,Nagarbhavi,300.0,1.0,20.0,1
5249,Nagarbhavi,1250.0,3.0,175.0,4
5250,Nagarbhavi,710.0,2.0,40.0,1
5252,Nagarbhavi,1212.0,2.0,50.0,2
5253,Nagarbhavi,1020.0,2.0,55.0,2
5255,Nagarbhavi,1120.0,2.0,53.0,2
5257,Nagarbhavi,1146.0,2.0,50.0,2
5259,Nagarbhavi,1190.0,2.0,63.0,2
5261,Nagarbhavi,1050.0,2.0,80.0,2
5262,Nagarbhavi,2500.0,3.0,180.0,5
5264,Nagarbhavi,1250.0,3.0,170.0,2
5266,Nagarbhavi,1400.0,2.0,135.0,3
5268,Nagarbhavi,1100.0,2.0,46.2,2
5269,Nagarbhavi,1080.0,2.0,49.0,2
5270,Nagarbhavi,1800.0,3.0,180.0,4
5271,Nagarbhavi,1225.0,2.0,58.0,2
5534,R.T. Nagar,1200.0,2.0,120.0,2
5536,R.T. Nagar,1040.0,2.0,46.0,2
5537,R.T. Nagar,1200.0,2.0,45.0,2
5538,R.T. Nagar,1235.0,2.0,65.0,2
5539,R.T. Nagar,1140.0,3.0,130.0,3
5540,R.T. Nagar,970.0,2.0,55.0,2
5541,R.T. Nagar,1560.0,3.0,125.0,3
5542,R.T. Nagar,1200.0,2.0,60.0,2
5545,R.T. Nagar,1200.0,3.0,140.0,3
5546,R.T. Nagar,1100.0,3.0,125.0,2
5547,R.T. Nagar,1150.0,2.0,72.0,2
5548,R.T. Nagar,1500.0,4.0,185.0,4
5549,R.T. Nagar,3600.0,8.0,165.0,9
5550,R.T. Nagar,1080.0,2.0,48.0,2
5551,R.T. Nagar,1325.0,2.0,52.0,2
5553,R.T. Nagar,1300.0,3.0,145.0,3
5555,R.T. Nagar,1100.0,2.0,85.0,2
5556,R.T. Nagar,1667.0,3.0,130.0,3
5761,Rajaji Nagar,1640.0,3.0,229.0,3
5762,Rajaji Nagar,2390.0,3.0,415.0,3
5763,Rajaji Nagar,2390.0,3.0,410.0,3
5765,Rajaji Nagar,3516.0,4.0,540.0,4
5766,Rajaji Nagar,1640.0,3.0,223.0,3
5768,Rajaji Nagar,1800.0,4.0,324.0,6
5769,Rajaji Nagar,3526.0,4.0,558.0,4
5772,Rajaji Nagar,1800.0,3.0,260.0,3
5773,Rajaji Nagar,1640.0,3.0,241.0,3
5774,Rajaji Nagar,1370.0,2.0,170.0,2
5775,Rajaji Nagar,2409.0,3.0,360.0,3
5777,Rajaji Nagar,1718.0,3.0,288.0,2
5778,Rajaji Nagar,2386.0,3.0,334.0,3
5779,Rajaji Nagar,3436.0,6.0,500.0,4
5780,Rajaji Nagar,1200.0,2.0,150.0,2
5781,Rajaji Nagar,1160.0,1.0,163.0,2
5782,Rajaji Nagar,660.0,1.0,75.0,1
5783,Rajaji Nagar,1440.0,2.0,170.0,2
5784,Rajaji Nagar,2448.0,3.0,400.0,3
5785,Rajaji Nagar,1440.0,2.0,185.0,2
5786,Rajaji Nagar,1640.0,3.0,230.0,3
5789,Rajaji Nagar,1800.0,2.0,250.0,3
5790,Rajaji Nagar,3100.0,4.0,550.0,4
5791,Rajaji Nagar,3526.0,4.0,598.0,4
5792,Rajaji Nagar,1357.0,2.0,130.0,2
5793,Rajaji Nagar,2300.0,3.0,369.0,3
5795,Rajaji Nagar,2500.0,3.0,350.0,3
5798,Rajaji Nagar,2559.0,3.0,403.0,3
5799,Rajaji Nagar,1763.0,3.0,262.0,2
5805,Rajaji Nagar,2533.0,3.0,425.0,3
5806,Rajaji Nagar,1268.0,2.0,127.0,2
5808,Rajaji Nagar,1640.0,3.0,262.0,3
5809,Rajaji Nagar,1200.0,1.0,200.0,2
5810,Rajaji Nagar,2367.0,3.0,375.0,3
5811,Rajaji Nagar,2440.0,2.0,415.0,4
5812,Rajaji Nagar,1640.0,3.0,251.0,3
5814,Rajaji Nagar,1640.0,3.0,268.0,3
5815,Rajaji Nagar,2367.0,4.0,340.0,3
5817,Rajaji Nagar,3600.0,5.0,510.0,5
5818,Rajaji Nagar,1350.0,4.0,230.0,4
5821,Rajaji Nagar,2400.0,5.0,408.0,5
5822,Rajaji Nagar,2500.0,3.0,340.0,3
5823,Rajaji Nagar,2390.0,3.0,372.0,3
5824,Rajaji Nagar,2415.0,3.0,399.0,3
5825,Rajaji Nagar,1718.0,3.0,275.0,2
5826,Rajaji Nagar,1763.0,3.0,240.0,2
5828,Rajaji Nagar,2409.0,3.0,395.0,3
5829,Rajaji Nagar,1314.0,2.0,225.0,2
5830,Rajaji Nagar,1440.0,2.0,165.0,2
5831,Rajaji Nagar,1640.0,3.0,245.0,3
6002,Sarakki Nagar,2121.0,4.0,253.0,3
6003,Sarakki Nagar,2289.0,3.0,260.0,3
6004,Sarakki Nagar,2500.0,4.0,325.0,3
6005,Sarakki Nagar,2145.0,4.0,270.0,3
6006,Sarakki Nagar,1200.0,3.0,128.0,3
6007,Sarakki Nagar,2663.0,4.0,338.0,3
6008,Sarakki Nagar,1840.0,4.0,175.0,3
6407,Sector 7 HSR Layout,3000.0,5.0,275.0,4
6408,Sector 7 HSR Layout,1163.0,2.0,98.86,2
6409,Sector 7 HSR Layout,1760.0,3.0,145.0,3
6410,Sector 7 HSR Layout,3900.0,3.0,300.0,3
6411,Sector 7 HSR Layout,1163.0,2.0,98.86,2
6412,Sector 7 HSR Layout,1342.0,2.0,115.0,2
6413,Sector 7 HSR Layout,1760.0,3.0,160.0,3
6414,Sector 7 HSR Layout,1760.0,3.0,142.0,3
6415,Sector 7 HSR Layout,2400.0,2.0,195.0,3
6416,Sector 7 HSR Layout,1760.0,3.0,185.0,3
6417,Sector 7 HSR Layout,1162.0,2.0,98.77,2
6445,Shivaji Nagar,850.0,2.0,55.0,2
6446,Shivaji Nagar,1554.0,3.0,130.0,2
6447,Shivaji Nagar,3820.0,1.0,306.0,1
6448,Shivaji Nagar,703.0,2.0,49.5,2
6449,Shivaji Nagar,1460.0,2.0,90.0,3
6450,Shivaji Nagar,600.0,1.0,65.0,2
6870,Ulsoor,2135.0,3.0,215.0,3
6871,Ulsoor,1275.0,2.0,120.0,2
6872,Ulsoor,1020.0,3.0,110.0,3
6873,Ulsoor,1200.0,2.0,60.0,2
6874,Ulsoor,1180.0,2.0,100.0,2
6875,Ulsoor,1340.0,3.0,90.0,3
6876,Ulsoor,1500.0,2.0,125.0,3
6877,Ulsoor,2000.0,3.0,185.0,3
6878,Ulsoor,1255.0,2.0,120.0,2
6879,Ulsoor,1685.0,4.0,185.0,3
6881,Ulsoor,2135.0,3.0,170.0,3
6882,Ulsoor,1160.0,2.0,130.0,2
7926,Yeshwanthpur,1693.0,3.0,108.0,3
7927,Yeshwanthpur,667.0,1.0,36.85,1
7928,Yeshwanthpur,1950.0,4.0,130.0,4
7930,Yeshwanthpur,665.0,1.0,36.85,1
7934,Yeshwanthpur,671.0,1.0,36.85,1
7935,Yeshwanthpur,1277.5,2.0,95.815,2
7936,Yeshwanthpur,668.0,1.0,36.85,1
7937,Yeshwanthpur,1185.0,2.0,75.84,2
7938,Yeshwanthpur,1195.0,2.0,100.0,2
7939,Yeshwanthpur,1313.0,3.0,96.0,3
7940,Yeshwanthpur,1400.0,2.0,100.0,2
7943,Yeshwanthpur,673.0,1.0,36.85,1
7944,Yeshwanthpur,717.0,2.0,49.475,2
7947,Yeshwanthpur,605.0,1.0,41.745,1
7949,Yeshwanthpur,669.0,1.0,36.85,1
7951,Yeshwanthpur,3027.0,4.0,260.0,3
7954,Yeshwanthpur,670.0,1.0,36.85,1
7957,Yeshwanthpur,1240.0,2.0,80.0,2
7958,Yeshwanthpur,1713.0,3.0,110.0,3
7959,Yeshwanthpur,1144.0,2.0,67.0,2
7960,Yeshwanthpur,1541.0,2.0,130.0,2
7962,Yeshwanthpur,1362.0,2.0,100.0,2
7963,Yeshwanthpur,666.0,1.0,36.8,1
7964,Yeshwanthpur,1855.0,3.0,140.0,3
7966,Yeshwanthpur,1165.0,2.0,85.0,2
7969,Yeshwanthpur,1825.0,3.0,145.0,3
7971,Yeshwanthpur,994.0,2.0,54.67,1
7972,Yeshwanthpur,650.0,1.0,40.0,1
7973,Yeshwanthpur,1855.0,3.0,140.0,3
7974,Yeshwanthpur,1500.0,3.0,100.0,3
7979,Yeshwanthpur,674.0,1.0,36.85,1
7981,Yeshwanthpur,672.0,1.0,36.85,1
7984,Yeshwanthpur,1195.0,2.0,100.0,2
7985,Yeshwanthpur,1692.0,3.0,108.0,3
7987,Yeshwanthpur,2500.0,5.0,185.0,6
7992,Yeshwanthpur,1855.0,3.0,135.0,3
7993,Yeshwanthpur,1876.0,3.0,160.0,3
7995,other,2770.0,4.0,290.0,3
7998,other,600.0,1.0,38.0,1
8001,other,1500.0,2.0,185.0,2
8002,other,840.0,2.0,45.0,2
8003,other,4395.0,3.0,240.0,3
8004,other,845.0,2.0,55.0,2
8005,other,2511.0,3.0,205.0,3
8006,other,1660.0,2.0,105.0,3
8008,other,1200.0,2.0,65.0,2
8009,other,1200.0,3.0,90.0,3
8013,other,782.0,2.0,55.68,2
8014,other,1800.0,3.0,120.0,3
8015,other,1413.0,2.0,75.0,3
8016,other,945.0,2.0,54.0,2
8017,other,1870.0,3.0,110.0,3
8018,other,1260.0,2.0,85.05,3
8020,other,2795.0,4.0,235.0,3
8022,other,1904.0,3.0,150.0,3
8023,other,2000.0,3.0,175.0,3
8026,other,1500.0,3.0,100.0,3
8028,other,1783.0,3.0,115.0,3
8029,other,912.0,2.0,70.0,3
8032,other,1580.0,3.0,100.0,3
8033,other,1415.0,3.0,78.0,3
8035,other,2405.0,4.0,260.0,3
8036,other,1500.0,2.0,115.0,2
8041,other,1060.0,2.0,60.0,2
8042,other,2600.0,8.0,180.0,8
8044,other,1285.0,2.0,72.5,2
8045,other,4050.0,3.0,280.0,3
8048,other,1280.0,2.0,69.0,2
8049,other,3045.0,3.0,170.0,3
8052,other,900.0,2.0,110.0,2
8057,other,1560.0,3.0,115.0,3
8060,other,1200.0,4.0,165.0,4
8062,other,1645.0,3.0,95.0,3
8063,other,1200.0,2.0,79.0,2
8065,other,1350.0,2.0,140.0,3
8066,other,1800.0,3.0,150.0,3
8068,other,1762.0,3.0,125.0,3
8070,other,1200.0,3.0,90.0,3
8071,other,2023.71,3.0,275.0,3
8077,other,2150.0,4.0,240.0,3
8080,other,3309.0,4.0,325.0,4
8081,other,5000.0,9.0,360.0,11
8083,other,1150.0,2.0,126.0,2
8086,other,1200.0,2.0,74.0,2
8089,other,1753.0,3.0,120.0,3
8091,other,720.0,2.0,45.0,2
8094,other,1200.0,3.0,165.0,4
8095,other,700.0,1.0,41.0,1
8097,other,1595.0,3.0,115.0,3
8098,other,1353.0,2.0,110.0,2
8099,other,1200.0,2.0,85.0,1
8102,other,1325.0,2.0,90.0,3
8105,other,1056.0,2.0,80.0,2
8107,other,1600.0,3.0,86.0,3
8109,other,1544.0,3.0,120.0,3
8110,other,1200.0,2.0,65.0,2
8111,other,540.0,1.0,36.0,1
8112,other,1578.0,3.0,180.0,3
8114,other,1600.0,2.0,115.0,2
8115,other,416.0,1.0,18.5,1
8118,other,834.0,1.0,60.0,1
8119,other,1125.0,4.0,70.0,3
8120,other,3000.0,5.0,260.0,4
8121,other,2160.0,5.0,250.0,6
8123,other,469.0,1.0,25.0,1
8128,other,1630.0,2.0,200.0,2
8130,other,1200.0,2.0,70.0,3
8131,other,1350.0,3.0,77.0,3
8132,other,4046.0,4.0,445.0,4
8133,other,1180.0,2.0,78.34,3
8134,other,1355.0,2.0,115.0,2
8135,other,600.0,1.0,50.0,1
8136,other,1875.0,3.0,165.0,3
8137,other,600.0,2.0,55.0,2
8140,other,1750.0,3.0,120.0,3
8143,other,1092.0,2.0,98.5,3
8146,other,1855.0,3.0,225.0,3
8150,other,425.0,1.0,20.03,1
8152,other,600.0,1.0,60.0,1
8153,other,1468.0,2.0,140.0,2
8154,other,4300.0,5.0,550.0,4
8156,other,775.0,2.0,55.0,2
8159,other,1352.0,3.0,135.0,3
8161,other,1200.0,3.0,95.0,4
8162,other,1976.0,3.0,184.0,3
8163,other,5500.0,4.0,600.0,4
8164,other,1200.0,3.0,95.0,3
8167,other,1180.0,2.0,69.0,2
8168,other,686.0,1.0,17.0,1
8170,other,1500.0,4.0,180.0,4
8172,other,1282.0,2.0,87.0,2
8174,other,1500.0,2.0,95.0,3
8175,other,1300.0,1.0,115.0,2
8176,other,530.0,1.0,20.0,1
8177,other,1350.0,2.0,80.0,2
8179,other,2400.0,6.0,125.0,8
8181,other,1141.0,2.0,62.0,2
8184,other,950.0,1.0,40.0,1
8191,other,1480.0,3.0,90.0,3
8192,other,1600.0,3.0,90.0,3
8193,other,1200.0,4.0,135.0,4
8195,other,1500.0,3.0,115.0,3
8196,other,1824.0,3.0,125.0,3
8197,other,750.0,1.0,56.25,1
8204,other,6000.0,5.0,400.0,4
8205,other,2400.0,3.0,170.0,3
